beat_id,rank,provider,video_id,query,semantic_score,final_score,width,height,duration,contributor,page_url,filename,status,error
B066,2,pexels,32175875,forest river morning drone,0.14026811659336091,0.0302681165933609,3840,2160,16.0,K,https://www.pexels.com/video/serene-aerial-view-of-misty-forest-river-32175875/,B066_PEXELS_32175875.mp4,downloaded,
B067,1,pexels,5677396,footsteps forest bridge morning,0.13507254138588906,-0.009927458614110957,3840,2160,28.0,K,https://www.pexels.com/video/people-running-on-a-hanging-bridge-5677396/,B067_PEXELS_5677396.mp4,downloaded,
B068,1,pexels,35999370,turning Bible pages outdoors,0.13868693426251413,0.16868693426251413,3840,2160,18.0,Jakub Bukowski,https://www.pexels.com/video/close-up-of-book-pages-being-flipped-35999370/,B068_PEXELS_35999370.mp4,downloaded,
B068,2,pixabay,141519,turning Bible pages outdoors,0.12173419737815858,0.12673419737815858,3840,2160,15.0,stefaniejockschat,https://pixabay.com/videos/id-141519/,B068_PIXABAY_141519.mp4,downloaded,
B069,1,pixabay,174495,river reflections sunrise,0.1282937178015709,0.1682937178015709,3840,2160,20.0,LensBoy,https://pixabay.com/videos/id-174495/,B069_PIXABAY_174495.mp4,downloaded,
B069,2,pexels,6435010,river reflections sunrise,0.13384620487689972,0.16384620487689971,3840,2160,49.0,Ambient_Nature_ Atmosphere,https://www.pexels.com/video/calm-river-under-a-blue-sky-6435010/,B069_PEXELS_6435010.mp4,downloaded,
B070,1,pexels,27112897,mountain river morning drone,0.16244569574296475,0.18764569574296475,3840,2160,9.0,Alex Moliski,https://www.pexels.com/video/a-river-runs-through-a-valley-in-the-middle-of-a-forest-27112897/,B070_PEXELS_27112897.mp4,downloaded,
B070,2,pixabay,187068,mountain river morning drone,0.1303121367096901,0.17031213670969012,3840,2160,43.0,antonlukin,https://pixabay.com/videos/id-187068/,B070_PIXABAY_187068.mp4,downloaded,
B071,1,pexels,8794896,dew new leaves morning,0.1486209540963173,0.17862095409631729,4096,2160,15.0,Anastasia  Shuraeva,https://www.pexels.com/video/close-up-video-of-a-leaves-8794896/,B071_PEXELS_8794896.mp4,downloaded,
B072,1,pexels,10397245,peaceful stream warm light,0.15914854273200035,0.18914854273200035,3840,2160,22.0,Олеся Ронжанина,https://www.pexels.com/video/sunlight-over-stream-in-forest-10397245/,B072_PEXELS_10397245.mp4,downloaded,
B072,2,pexels,28464451,river reflections sunrise,0.14620553719997406,0.17380553719997405,3840,2160,12.0,AP Vibes,https://www.pexels.com/video/a-river-is-seen-in-the-distance-with-trees-in-the-foreground-28464451/,B072_PEXELS_28464451.mp4,downloaded,
