beat_id,rank,origin,asset_id,provider,video_id,query,semantic_score,final_score,width,height,duration,contributor,page_url,filename,status,error
B075,1,online,pexels:4342611,pexels,4342611,path over stream,0.13970665287971495,0.16890665287971493,3840,2160,14.0,Street Donkey,https://www.pexels.com/video/forest-path-in-the-middle-of-the-woodland-4342611/,B075_PEXELS_4342611.mp4,downloaded,
B075,2,online,pexels:7023121,pexels,7023121,forest bridge river morning,0.13315210059285165,0.16315210059285165,3840,2160,202.0,Bryce Carithers,https://www.pexels.com/video/people-walking-on-a-footbridge-7023121/,B075_PEXELS_7023121.mp4,downloaded,
B076,1,online,pexels:14057075,pexels,14057075,forest trail golden morning,0.14527014829715093,0.17527014829715093,2560,1440,20.0,Carsten Link,https://www.pexels.com/video/sunlight-through-trees-14057075/,B076_PEXELS_14057075.mp4,downloaded,
B076,2,online,pexels:7154938,pexels,7154938,forest trail golden morning,0.14198938757677873,0.17198938757677873,2560,1440,20.0,Yan Krukau,https://www.pexels.com/video/paved-pathway-beside-the-forest-lake-7154938/,B076_PEXELS_7154938.mp4,downloaded,
B077,1,online,pexels:7107648,pexels,7107648,forest trail golden morning,0.14889300629496574,0.14389300629496574,3840,2160,60.0,I Am Sorin,https://www.pexels.com/video/a-leafless-woodland-7107648/,B077_PEXELS_7107648.mp4,downloaded,
B077,2,online,pexels:6135300,pexels,6135300,forest trail golden morning,0.1479812537878752,0.14298125378787518,3840,2160,59.0,Engin Akyurt,https://www.pexels.com/video/trees-in-the-forest-6135300/,B077_PEXELS_6135300.mp4,downloaded,
B078,1,online,pexels:10579237,pexels,10579237,winding water aerial,0.17187599629163744,0.20187599629163744,3840,2160,36.0,Traveling on  the Go,https://www.pexels.com/video/birds-eye-view-of-a-winding-stream-near-a-forest-10579237/,B078_PEXELS_10579237.mp4,downloaded,
B078,2,online,pexels:11675380,pexels,11675380,forest river aerial golden morning,0.1625266743451357,0.1925266743451357,3840,2160,22.0,Sergei Skrynnik,https://www.pexels.com/video/drone-footage-of-a-river-in-a-mountain-landscape-11675380/,B078_PEXELS_11675380.mp4,downloaded,
B079,1,online,pexels:4729553,pexels,4729553,Bible beside river sunrise,0.13927759420871735,0.16927759420871735,1920,1080,18.0,Elena Stepanova,https://www.pexels.com/video/a-reflection-on-the-flowing-water-4729553/,B079_PEXELS_4729553.mp4,downloaded,
B079,2,online,pexels:18851815,pexels,18851815,Bible beside river sunrise,0.16645219995174557,0.02145219995174555,3840,2160,50.0,Tom Fisk,https://www.pexels.com/video/aerial-view-of-the-river-and-the-sunrise-18851815/,B079_PEXELS_18851815.mp4,downloaded,
